# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5126
#@/user_id	be5fbefd-d5d5-4cd5-a314-d2941824e53b
a 	啊	c=56 d=2.47676 t=5080
a a a 	啊啊啊	c=7 d=1.02035 t=5068
a a a a 	啊啊啊啊	c=3 d=0.706616 t=5080
a a a a a 	啊啊啊啊啊	c=1 d=1 t=5081
a a a a a a 	啊啊啊啊啊啊	c=3 d=1 t=3659
a a a a a a a 	啊啊啊啊啊啊啊	c=2 d=1.00012 t=4966
a wu 	啊嗚	c=1 d=1 t=3155
a yi 	阿姨	c=1 d=1 t=4127
ai 	唉	c=1 d=1 t=136
an 	俺	c=0 d=0.1 t=1335
an 	按	c=2 d=1.00001 t=3973
an pai 	安排	c=0 d=0.1 t=444
an ye yi yang 	俺也一樣	c=1 d=1 t=1336
an zhao 	按照	c=3 d=1.00127 t=3578
an zhuang 	安裝	c=1 d=1 t=1904
ao 	嗷	c=6 d=1.08086 t=5078
ba 	八	c=1 d=1 t=3964
ba 	叭	c=5 d=0.112761 t=5035
ba 	吧	c=10 d=1.47983 t=3506
ba 	把	c=18 d=2.48733 t=5107
ba dian ban 	八點半	c=1 d=1 t=834
ba jiu 	八九	c=0 d=0.1 t=427
ba jiu yue fen 	八九月份	c=1 d=1 t=428
ba ta 	把它	c=1 d=1 t=3370
ba wo 	把握	c=0 d=0.1 t=4178
bai ping 	白屏	c=1 d=1 t=1155
bai tian 	白天	c=0 d=0.1 t=4106
bai tian kao shi 	白天考試	c=1 d=1 t=4107
ban 	班	c=1 d=1 t=1030
ban 	辦	c=1 d=1 t=1256
ban ben 	版本	c=4 d=1.09812 t=5110
ban fa 	辦法	c=1 d=1 t=3823
ban tian 	半天	c=1 d=1 t=3922
bang 	幫	c=1 d=1.00894 t=2326
bang ding 	綁定	c=0 d=0.1 t=2033
bang ding de 	綁定的	c=2 d=1.84366 t=2068
bang ni men 	幫你們	c=1 d=1 t=1844
bang wo 	幫我	c=1 d=1.20767 t=158
bang zhu 	幫助	c=1 d=1.0207 t=425
bang zhu wo 	幫助我	c=1 d=1 t=111
bao 	包	c=1 d=1 t=1905
bao 	報	c=1 d=1 t=4629
bao 	抱	c=1 d=1 t=4322
bao bao 	抱抱	c=2 d=1.08168 t=3677
bao chi 	保持	c=1 d=1 t=4238
bao cuo 	報錯	c=7 d=2.05923 t=4320
bao cuo de 	報錯的	c=1 d=1 t=2038
bao cuo shi 	報錯是	c=1 d=1 t=1745
bao gao 	報告	c=1 d=1.09005 t=553
bao han 	包含	c=2 d=1 t=3605
bao kuo 	包括	c=1 d=1 t=3110
bao le 	報了	c=1 d=1 t=4298
bao ling 	爆零	c=1 d=1 t=4459
bao liu le 	保留了	c=1 d=1 t=4397
bao zheng 	保證	c=2 d=1.96561 t=1984
bei 	倍	c=1 d=1 t=2149
bei 	背	c=1 d=1 t=997
bei 	被	c=2 d=1.00182 t=4146
bei gua 	被掛	c=1 d=1 t=178
bei jing 	北京	c=1 d=1 t=1214
bei jing guo ji 	北京國際	c=1 d=1.0004 t=2304
bei jing guo ji shu xue zhong xin 	北京國際數學中心	c=1 d=1 t=1203
bei shu 	背書	c=2 d=1.9802 t=1005
bei shuo 	被說	c=1 d=1 t=3661
bei shuo le 	被說了	c=1 d=1 t=1725
ben ke sheng 	本科生	c=2 d=1.94649 t=217
ben zhi 	本質	c=0 d=0.1 t=464
ben zhi qu bie 	本質區別	c=1 d=1 t=465
beng beng tiao tiao 	蹦蹦跳跳	c=1 d=1 t=773
bi 	畢	c=0 d=0.1 t=851
bi jiao 	比較	c=3 d=1.49339 t=2487
bi jiao fu za 	比較複雜	c=1 d=1 t=1928
bi jiao hao 	比較好	c=2 d=1.05287 t=2058
bi jiao he shi 	比較合適	c=1 d=1 t=2094
bi jiao sheng shi jian 	比較省時間	c=1 d=1 t=2181
bi jiao you 	比較有	c=1 d=1 t=1014
bi mian 	避免	c=1 d=1 t=2659
bi ru 	比如	c=4 d=1.09473 t=2917
bi wo men 	比我們	c=1 d=1 t=4017
bi xu 	必須	c=2 d=1.00004 t=3603
bian 	編	c=2 d=1.00177 t=2332
bian 	變	c=4 d=1.81951 t=4110
bian 	邊	c=2 d=1.99005 t=3832
bian chang 	變長	c=1 d=1 t=3553
bian cheng 	變成	c=1 d=1 t=4070
bian da 	變大	c=1 d=1 t=1957
bian duo le 	變多了	c=1 d=1 t=4111
bian huan 	變換	c=1 d=1 t=1091
bian jie 	邊界	c=1 d=1 t=3113
bian yi qi 	編譯器	c=1 d=1 t=2120
biao 	標	c=1 d=1.09753 t=3942
biao 	表	c=1 d=1 t=4170
biao da shi 	表達式	c=0 d=0.1 t=2006
biao ji 	標記	c=1 d=1 t=2764
biao zhu 	標註	c=1 d=0.444728 t=3737
biao zhu shu ju 	標註數據	c=2 d=1.49659 t=3878
biao zhun 	標準	c=1 d=1 t=1276
bie 	別	c=2 d=1.74453 t=944
bie de 	別的	c=1 d=0.1 t=4162
bie de gong si 	別的公司	c=1 d=1 t=4163
bie dong 	別動	c=1 d=1 t=4742
bie gei 	別給	c=0 d=0.1 t=2831
bie gei wo 	別給我	c=1 d=1 t=2832
bie ren 	別人	c=1 d=1 t=3309
bie yong 	別用	c=0 d=0.1 t=1572
bie yong wo 	別用我	c=1 d=1 t=1573
bie zhe yang 	別這樣	c=1 d=1 t=1697
bing bu 	並不	c=0 d=0.1 t=1960
bing bu li jie 	並不理解	c=1 d=1 t=1961
bing bu shi 	並不是	c=1 d=1 t=2590
bing fei 	並非	c=1 d=1 t=4458
bing gan 	餅乾	c=1 d=1 t=716
bing mei you 	並沒有	c=1 d=1 t=2017
bing qie 	並且	c=1 d=1 t=3393
bing xing 	並行	c=2 d=1.02692 t=2866
bo 	博	c=4 d=3.8876 t=3316
bo shi 	博士	c=1 d=1 t=3301
bo wen 	博文	c=0 d=0.1 t=1318
bu 	不	c=7 d=1.7843 t=4915
bu 	步	c=3 d=1.00741 t=5013
bu 	補	c=2 d=1.03633 t=4317
bu chang 	補償	c=1 d=1 t=3517
bu chu 	不出	c=1 d=1 t=2791
bu chu lai 	不出來	c=0 d=0.1 t=4137
bu cun zai 	不存在	c=0 d=0.1 t=393
bu cun zai de 	不存在的	c=1 d=1 t=394
bu cuo 	不錯	c=1 d=1 t=2691
bu cuo a 	不錯啊	c=1 d=1 t=3615
bu da 	不大	c=1 d=0.114122 t=3826
bu da de 	不大的	c=1 d=1 t=2080
bu da xing 	不大行	c=1 d=1 t=478
bu dao 	不到	c=1 d=1 t=4723
bu dong 	不懂	c=1 d=1 t=4122
bu duan de 	不斷的	c=1 d=1 t=2166
bu dui 	不對	c=1 d=0.665525 t=4560
bu fen 	部分	c=1 d=0.9429 t=1633
bu gan bie de 	不幹別的	c=1 d=1 t=3570
bu gei 	不給	c=1 d=1 t=4619
bu gei bao gao 	不給報告	c=1 d=1 t=554
bu gei mao mao 	不給貓貓	c=1 d=1 t=724
bu gou 	不夠	c=1 d=1.03239 t=278
bu gou ji ji 	不夠積極	c=1 d=1 t=279
bu guo 	不過	c=0 d=0.1 t=1816
bu guo hua shuo 	不過話說	c=1 d=1 t=1817
bu hao 	不好	c=1 d=1.00148 t=3861
bu hao chu li 	不好處理	c=1 d=1 t=3020
bu hao yi si 	不好意思	c=4 d=1.00006 t=3196
bu huan 	不換	c=1 d=1 t=4093
bu hui 	不會	c=7 d=1.07829 t=4625
bu hui ba 	不會吧	c=0 d=0.1 t=1377
bu hui de 	不會的	c=2 d=1.99501 t=768
bu hui gai 	不會改	c=1 d=1 t=1813
bu hui shi 	不會是	c=1 d=1 t=3936
bu hui you 	不會有	c=1 d=1 t=4478
bu ji 	不急	c=0 d=0.1 t=66
bu ji de hua 	不急的話	c=1 d=1 t=67
bu jian dan 	不簡單	c=2 d=1.99005 t=2563
bu jian le 	不見了	c=1 d=1 t=5091
bu ke 	補課	c=1 d=1 t=2931
bu ke neng 	不可能	c=2 d=1.99005 t=4588
bu ke que shao 	不可缺少	c=0 d=0.1 t=663
bu ke que shao de 	不可缺少的	c=1 d=1 t=664
bu le 	補了	c=1 d=1 t=3800
bu liao 	不了	c=1 d=1 t=4364
bu miao 	不妙	c=1 d=0.100059 t=4217
bu nan 	不難	c=1 d=1 t=1601
bu neng 	不能	c=3 d=1.06544 t=5055
